review_id,review_date,cloud,principal,role,privilege_level,mfa,decision,reviewer
IAM-00283,2026-04-13,AWS,user283@northstar.example,Contributor,Elevated,Yes,Retain,reviewer3
IAM-00284,2026-04-14,AWS,user284@northstar.example,Operator,Standard,Yes,Remove,reviewer4
IAM-00285,2026-04-15,AWS,user285@northstar.example,Contributor,Standard,No,Modify,reviewer5
IAM-00286,2026-04-16,Azure,user286@northstar.example,Contributor,Standard,No,Retain,reviewer6
IAM-00287,2026-04-17,AWS,user287@northstar.example,Operator,Standard,No,Retain,reviewer7
IAM-00288,2026-04-18,AWS,user288@northstar.example,Contributor,Elevated,Yes,Remove,reviewer8
IAM-00289,2026-04-19,Azure,user289@northstar.example,Administrator,Standard,No,Remove,reviewer1
IAM-00290,2026-04-20,Azure,user290@northstar.example,Contributor,Standard,Yes,Modify,reviewer2
IAM-00291,2026-04-21,Azure,user291@northstar.example,Reader,Standard,Yes,Remove,reviewer3
IAM-00292,2026-04-22,Azure,user292@northstar.example,Operator,Standard,Yes,Remove,reviewer4
IAM-00293,2026-04-23,Azure,user293@northstar.example,Operator,Elevated,Yes,Retain,reviewer5
IAM-00294,2026-04-24,Azure,user294@northstar.example,Reader,Elevated,Yes,Remove,reviewer6
IAM-00295,2026-04-25,Azure,user295@northstar.example,Reader,Elevated,Yes,Modify,reviewer7
IAM-00296,2026-04-26,AWS,user296@northstar.example,Administrator,Standard,Yes,Retain,reviewer8
IAM-00297,2026-04-27,Azure,user297@northstar.example,Contributor,Elevated,Yes,Retain,reviewer1
IAM-00298,2026-04-28,Azure,user298@northstar.example,Administrator,Standard,Yes,Remove,reviewer2
IAM-00299,2026-04-29,Azure,user299@northstar.example,Administrator,Elevated,No,Modify,reviewer3
IAM-00300,2026-04-30,Azure,user300@northstar.example,Operator,Elevated,Yes,Remove,reviewer4
